accuracy,balanced_accuracy,macro_f1,weighted_f1,log_loss,brier_score,mean_entropy,mean_confidence,mean_margin,Validation,SplitLabel,Model,n_samples
0.7194513715710723,0.39237151200205683,0.37298596943205947,0.7392782092733863,0.8816194998962782,0.3851800322669206,0.40237849950790405,0.8502635359764099,0.7407525181770325,BlindWell,Blind_Well_06,CNN_BiLSTM,802
0.7531172069825436,0.4630072215839579,0.4452316430068928,0.7870315029281025,0.9047642097703031,0.37335937548766146,0.30420607328414917,0.8889592289924622,0.8058001399040222,BlindWell,Blind_Well_06,CNN_BiLSTM_Attention,802
0.8665835411471322,0.7045002864413118,0.5980139626369775,0.8775924089618999,0.4933829009064652,0.21872967157250925,0.3521629571914673,0.8636087775230408,0.7609431147575378,BlindWell,Blind_Well_06,HybridFusion,802
0.9642289348171701,0.7856592502124187,0.7915545060454503,0.963223275144599,0.13590384682114628,0.06206630595381601,0.21163149178028107,0.9284005165100098,0.87530118227005,RandomSplit,Random_70_30,RandomForest,1258
0.9602543720190779,0.7896213030333856,0.7855828825935596,0.9596228933466543,0.12424678192624493,0.06108577689834132,0.09121587872505188,0.9702823758125305,0.945610761642456,RandomSplit,Random_70_30,GradientBoosting,1258
0.9634340222575517,0.7943136907868553,0.7915753128723582,0.9630254347237143,0.1027069576171321,0.05439625132743245,0.08349008858203888,0.9728496670722961,0.95001620054245,RandomSplit,Random_70_30,XGBoost,1258
0.9626391096979332,0.7925024674242832,0.7918397032251706,0.9621789069567745,0.10561378890325888,0.05458389293256047,0.09309325367212296,0.9695366621017456,0.9442705512046814,RandomSplit,Random_70_30,ProbabilisticEnsemble,1258
0.9173290937996821,0.7165977504111168,0.7092610240643522,0.9175394000617922,0.22202755353355583,0.1201346704378834,0.22646380960941315,0.9107258319854736,0.843055784702301,RandomSplit,Random_70_30,CNN,1258
0.9228934817170111,0.7380982416320541,0.7251913901585371,0.923514305994355,0.21511843499203895,0.11234392380092849,0.17328715324401855,0.9385229349136353,0.8886337280273438,RandomSplit,Random_70_30,CNN_BiLSTM,1258
0.9308426073131956,0.7450679385711806,0.7305060967189075,0.9315380687239817,0.2058478875775607,0.10781616106013453,0.25907081365585327,0.9105345010757446,0.8470811247825623,RandomSplit,Random_70_30,CNN_BiLSTM_Attention,1258
0.9674085850556439,0.8038855000851405,0.8002263445381127,0.9669662580676174,0.11979739452054185,0.058753218484807815,0.1957026720046997,0.9362432956695557,0.887894332408905,RandomSplit,Random_70_30,HybridFusion,1258
