Validation,Model,SplitLabel,Coverage,Accuracy,MacroF1
BlindWell,ProbabilisticEnsemble,Blind_Well_04,0.6,1.0,0.5714285714285714
BlindWell,ProbabilisticEnsemble,Blind_Well_04,0.65,1.0,0.5714285714285714
BlindWell,ProbabilisticEnsemble,Blind_Well_04,0.7,1.0,0.5714285714285714
BlindWell,ProbabilisticEnsemble,Blind_Well_04,0.75,1.0,0.7142857142857143
BlindWell,ProbabilisticEnsemble,Blind_Well_04,0.8,0.9960079840319361,0.709170857831756
BlindWell,ProbabilisticEnsemble,Blind_Well_04,0.8500000000000001,0.9887429643527205,0.7919453742134154
BlindWell,ProbabilisticEnsemble,Blind_Well_04,0.9,0.973404255319149,0.7704082702374514
BlindWell,ProbabilisticEnsemble,Blind_Well_04,0.95,0.9630252100840336,0.7745285351946011
BlindWell,ProbabilisticEnsemble,Blind_Well_04,1.0,0.950479233226837,0.7649535090634949
BlindWell,GeoConstrainedEnsemble,Blind_Well_04,0.5,1.0,0.42857142857142855
BlindWell,GeoConstrainedEnsemble,Blind_Well_04,0.55,1.0,0.5714285714285714
BlindWell,GeoConstrainedEnsemble,Blind_Well_04,0.6,1.0,0.5714285714285714
BlindWell,GeoConstrainedEnsemble,Blind_Well_04,0.65,1.0,0.5714285714285714
BlindWell,GeoConstrainedEnsemble,Blind_Well_04,0.7,1.0,0.5714285714285714
BlindWell,GeoConstrainedEnsemble,Blind_Well_04,0.75,1.0,0.5714285714285714
BlindWell,GeoConstrainedEnsemble,Blind_Well_04,0.8,1.0,0.7142857142857143
BlindWell,GeoConstrainedEnsemble,Blind_Well_04,0.8500000000000001,0.9924953095684803,0.81019380292345
BlindWell,GeoConstrainedEnsemble,Blind_Well_04,0.9,0.9787234042553191,0.7877916816332304
BlindWell,GeoConstrainedEnsemble,Blind_Well_04,0.95,0.9630252100840336,0.7736578658268938
BlindWell,GeoConstrainedEnsemble,Blind_Well_04,1.0,0.9456869009584664,0.7552483674712197
BlindWell,HybridFusion,Blind_Well_04,0.5,1.0,0.14285714285714285
BlindWell,HybridFusion,Blind_Well_04,0.55,1.0,0.2857142857142857
BlindWell,HybridFusion,Blind_Well_04,0.6,1.0,0.42857142857142855
BlindWell,HybridFusion,Blind_Well_04,0.65,1.0,0.5714285714285714
BlindWell,HybridFusion,Blind_Well_04,0.7,1.0,0.7142857142857143
BlindWell,HybridFusion,Blind_Well_04,0.75,1.0,0.7142857142857143
BlindWell,HybridFusion,Blind_Well_04,0.8,0.9940119760479041,0.7018126712129159
BlindWell,HybridFusion,Blind_Well_04,0.8500000000000001,0.9699812382739212,0.6740788623141565
BlindWell,HybridFusion,Blind_Well_04,0.9,0.9397163120567376,0.6762829992643659
BlindWell,HybridFusion,Blind_Well_04,0.95,0.9210084033613445,0.663316096595237
BlindWell,HybridFusion,Blind_Well_04,1.0,0.8961661341853036,0.6571193467188747
BlindWell,GeoConstrainedHybrid,Blind_Well_04,0.5,1.0,0.14285714285714285
BlindWell,GeoConstrainedHybrid,Blind_Well_04,0.55,1.0,0.2857142857142857
BlindWell,GeoConstrainedHybrid,Blind_Well_04,0.6,1.0,0.42857142857142855
BlindWell,GeoConstrainedHybrid,Blind_Well_04,0.65,1.0,0.5714285714285714
BlindWell,GeoConstrainedHybrid,Blind_Well_04,0.7,1.0,0.7142857142857143
BlindWell,GeoConstrainedHybrid,Blind_Well_04,0.75,1.0,0.7142857142857143
BlindWell,GeoConstrainedHybrid,Blind_Well_04,0.8,0.9940119760479041,0.7018126712129159
BlindWell,GeoConstrainedHybrid,Blind_Well_04,0.8500000000000001,0.9699812382739212,0.6740788623141565
BlindWell,GeoConstrainedHybrid,Blind_Well_04,0.9,0.9397163120567376,0.6762829992643659
BlindWell,GeoConstrainedHybrid,Blind_Well_04,0.95,0.9210084033613445,0.663316096595237
BlindWell,GeoConstrainedHybrid,Blind_Well_04,1.0,0.8961661341853036,0.6571193467188747
BlindWell,ProbabilisticEnsemble,Blind_Well_05,0.5,1.0,0.2857142857142857
BlindWell,ProbabilisticEnsemble,Blind_Well_05,0.55,1.0,0.42857142857142855
BlindWell,ProbabilisticEnsemble,Blind_Well_05,0.6,0.9980353634577603,0.5584415584415584
BlindWell,ProbabilisticEnsemble,Blind_Well_05,0.65,0.9981884057971014,0.8272108843537415
BlindWell,ProbabilisticEnsemble,Blind_Well_05,0.7,0.9966329966329966,0.8300889733883984
BlindWell,ProbabilisticEnsemble,Blind_Well_05,0.75,0.9937106918238994,0.8233164930139971
BlindWell,ProbabilisticEnsemble,Blind_Well_05,0.8,0.9911634756995582,0.8218219507852388
BlindWell,ProbabilisticEnsemble,Blind_Well_05,0.8500000000000001,0.9889042995839112,0.8129242153813322
